username,"ASU notes: ","ASU: ","American U notes: ","American U: ","Application Year: ","Attending: ","BC notes: ","BC: ","BU notes: ","BU: ","BYU notes: ","BYU: ","Baylor notes: ","Baylor: ","Brooklyn notes: ","Brooklyn: ","Cardozo notes: ","Cardozo: ","Case Western notes: ","Case Western: ","Catholic U notes: ","Catholic U: ","Chapman notes: ","Chapman: ","Chicago-Kent notes: ","Chicago-Kent: ","Columbia notes: ","Columbia: ","Cornell notes: ","Cornell: ","DePaul notes: ","DePaul: ","Duke notes: ","Duke: ","Emory notes: ","Emory: ","FSU notes: ","FSU: ","Fl International notes: ","Fl International: ","Fordham notes: ","Fordham: ","GPA: ","Gender: ","General Information: ","George Mason notes: ","George Mason: ","George Washington notes: ","George Washington: ","Georgetown notes: ","Georgetown: ","Georgia State notes: ","Georgia State: ","Gonzaga notes: ","Gonzaga: ","Harvard notes: ","Harvard: ","Highest LSAT: ","Hofstra notes: ","Hofstra: ","Indiana - Bloomington notes: ","Indiana - Bloomington: ","Indiana - Indianapolis notes: ","Indiana - Indianapolis: ","LSDAS GPA: ","LSU notes: ","LSU: ","Lewis & Clark notes: ","Lewis & Clark: ","Loyola - Chicago notes: ","Loyola - Chicago: ","Loyola - LA notes: ","Loyola - LA: ","Major(s): ","Marquette notes: ","Marquette: ","Mercer notes: ","Mercer: ","Michigan State notes: ","Michigan State: ","Minor(s): ","NYU notes: ","NYU: ","Northeastern notes: ","Northeastern: ","Northwestern notes: ","Northwestern: ","Notre Dame notes: ","Notre Dame: ","Ohio State notes: ","Ohio State: ","Oklahoma City notes: ","Oklahoma City: ","Penn State notes: ","Penn State: ","Penn notes: ","Penn: ","Pepperdine notes: ","Pepperdine: ","Pitt notes: ","Pitt: ","Residency: ","Rutgers - Camden notes: ","Rutgers - Camden: ","Rutgers - Newark notes: ","Rutgers - Newark: ","SMU notes: ","SMU: ","SUNY Buffalo notes: ","SUNY Buffalo: ","Saint Louis U notes: ","Saint Louis U: ","Santa Clara notes: ","Santa Clara: ","Seattle U notes: ","Seattle U: ","Seton Hall notes: ","Seton Hall: ","St. Johns notes: ","St. Johns: ","Stanford notes: ","Stanford: ","Stetson notes: ","Stetson: ","Syracuse notes: ","Syracuse: ","TLS Box: ","Temple notes: ","Temple: ","Tulane notes: ","Tulane: ","U of Alabama notes: ","U of Alabama: ","U of Arizona notes: ","U of Arizona: ","U of Arkansas notes: ","U of Arkansas: ","U of Chicago notes: ","U of Chicago: ","U of Cincinnati notes: ","U of Cincinnati: ","U of Colorado notes: ","U of Colorado: ","U of Connecticut notes: ","U of Connecticut: ","U of Denver notes: ","U of Denver: ","U of Florida notes: ","U of Florida: ","U of Georgia notes: ","U of Georgia: ","U of Hawaii notes: ","U of Hawaii: ","U of Houston notes: ","U of Houston: ","U of Illinois notes: ","U of Illinois: ","U of Iowa notes: ","U of Iowa: ","U of Kansas notes: ","U of Kansas: ","U of Kentucky notes: ","U of Kentucky: ","U of Louisville notes: ","U of Louisville: ","U of Maine notes: ","U of Maine: ","U of Maryland notes: ","U of Maryland: ","U of Miami notes: ","U of Miami: ","U of Michigan notes: ","U of Michigan: ","U of Minnesota notes: ","U of Minnesota: ","U of Missouri notes: ","U of Missouri: ","U of Nebraska notes: ","U of Nebraska: ","U of New Mexico notes: ","U of New Mexico: ","U of Oklahoma notes: ","U of Oklahoma: ","U of Oregon notes: ","U of Oregon: ","U of Richmond notes: ","U of Richmond: ","U of San Diego notes: ","U of San Diego: ","U of San Francisco notes: ","U of San Francisco: ","U of South Carolina notes: ","U of South Carolina: ","U of Tennessee notes: ","U of Tennessee: ","U of Texas notes: ","U of Texas: ","U of Tulsa notes: ","U of Tulsa: ","U of Utah notes: ","U of Utah: ","U of Washington notes: ","U of Washington: ","U of Wisconsin notes: ","U of Wisconsin: ","U of Wyoming notes: ","U of Wyoming: ","UC Berkeley/Boalt notes: ","UC Berkeley/Boalt: ","UC Davis notes: ","UC Davis: ","UC Hastings notes: ","UC Hastings: ","UCLA notes: ","UCLA: ","UNC notes: ","UNC: ","UNLV notes: ","UNLV: ","UOP (McGeorge) notes: ","UOP (McGeorge): ","USC notes: ","USC: ","UVA notes: ","UVA: ","Undergrad Institution: ","Underrepresented Minority?: ","Vanderbilt notes: ","Vanderbilt: ","Villanova notes: ","Villanova: ","WUSTL notes: ","WUSTL: ","Wake Forest notes: ","Wake Forest: ","Washington & Lee notes: ","Washington & Lee: ","Wayne State notes: ","Wayne State: ","West Virginia notes: ","West Virginia: ","William & Mary notes: ","William & Mary: ","William Mitchell notes: ","William Mitchell: ","Yale notes: ","Yale: "
Frm312,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,180,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
james18,,,,,,"Michigan 2012",,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,Accepted,,,,,,,,,3.9,,,,,,,,Accepted,,,,,,Accepted,180,,,,,,,3.9,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted
jdstl,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,Hamilton,Accepted,,,,,,,,,,,,,,,3.9,Male,"Thoroughly average softs.",,,,,,,,,,,,,180,,,,,,,3.9,,,,,,,,,"Political Science",,,,,,,"Economics, English",,,,,,,,,,,,,,,,,,,,,MO,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of Tulsa",No,,,,,,,,,,,,,,,,,,,,
tomwatts,,,,,,"Harvard Class of 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,180,,,,,,,3.9,,,,,,,,,"Classical Languages and Astrophysics double",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I teach/taught LSAT prep for The Princeton Review, and I'd be happy to answer whatever questions you have about anything TPR-related. :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UC Berkeley",,,,,,,,,,,,,,,,,,,,,
nutbusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,180,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
Garamond,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,180,,,,,,,3.9,,,,,,,,,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HYP,No,,,,,,,,,,,,,,,,,,,,
vividviolin,,,,,2012-2013,"Stanford Class of 2016",,,,,,,,,,,,,,,,,,,,,"App Complete 10/18",Accepted,,,,,,,,,,,,,,,3.9,Female,,,,,,,,,,,,"Notification App Complete + Offer for interview 11/29",Accepted,180,,,,,,,3.9,,,,,,,,,"Near Eastern Languages and Civilizations",,,,,,,,"UR 12/3",Accepted,,,,,,,,,,,,,"UR 10/19, withdrew in april",Applied,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,"Complete in early Dec.",Accepted,,,,,,,,,,,,,,,,"Complete: 10/23",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summer Class...received letter in late November",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UR: 11/13",Accepted,,,,,,,,,,,,,,,"Accepted call: 12/4 . Merit Scholarship.",Accepted,Yale,,,,,,,,,,,,,,,,,,,,"Complete 12/6, waitlist late April, withdrew.",Waitlisted
jjbinks,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,Butler,Accepted,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,"Waitlisted then rejected",180,,,,,,,3.9,,,,,,,,,"Economics / Political Science",,,,,,,,"$100,000",Accepted,,,,,,,,,,,,,,Accepted,,,,,CA,,,,,,,,,,,,,,,,,,,Attending,"Waitlisted then accepted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withdrew,Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,"Full Ride",Accepted,,,,,,,,,Withdrew,Waitlisted,UCLA,No,,,,,,,,,,,,,,,,,,,,Rejected
JohnnyTrojan08,,,,,2010-2011,"Harvard Class of 2013 (maybe 2014 if I add a joint MBA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,Accepted,180,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,http://www.zenof180.com/p/about-zen.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,Accepted,,,"Top Film School",No,,,,,,,,,,,,,,,,,,,,
hlshopeful,,,,,,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,"Administration of Justice",,,,,,,Arabic,,,,,,,,,,,,,,,,,,,,,"United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
asdfjkl;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Female,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
"LSAT World",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carmenhere130,,,,,2013-2014,"Yale 2016",,,,,,,,,,,,,,,,,,,,,"Hamilton Fellowship",Accepted,,,,,,,,,,,,,,,3.9,Male,,,,,,,,,,,,"Got the phone call on December 21 st",Accepted,180,,,,,,,,,,,,,,,,PolSci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yale '12",No,,,,,,,,,,,,,,,,,,,Attending,Accepted
drylo,,,,,,"Vanderbilt Class of 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,3.8,,http://lawschoolnumbers.com/drylo/jd,,,,,,,,,,,,Accepted,180,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,Accepted,,,,,,,,,,,,,,,,,,Rejected
gst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,Male,,,,,,,,,,,,,,180,,,,,,,3.9,,,,,,,,,Math/Finance,,,,,,,Writing,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,"Graduated Dec 08, took June 09 LSAT, going to work for a couple/few years before applying.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T20,No,,,,,,,,,,,,,,,,,,,,
physicaltherap,,,,,2008-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,Male,,,,,,,,,,,,,,180,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
Shadyb,,,,,2008-2009,"Harvard Class of 2012",,,withdrawn,Applied,,,,,,,,,,,,,,,,,,,withdrawn,Accepted,,,,,,,,,,,,,3.8,Female,,,,,,,,,,,,attending,Accepted,180,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withdrawn,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withdrawn,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,withdrawn,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivy,No,,,,,,,,,,,,,,,,,,,rejected,Applied
elluchador,,,,,2008-2009,,,,,,,,,,,,,,,,,,,,,,Hamilton,Accepted,,,,,,,,,,,,,,,3.8,Male,,,,,,,,,,,,,Accepted,180,,,,,,,3.8,,,,,,,,,"phil, politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted
n4elise,,,,,2012-2013,"Yale Class of 2015",,,,,,,,,,,,,,,,,,,,,"Full ride (Hamilton)",Accepted,,,,,,,,,,,,,,,3.8,Female,,,,,,,,,,,,,Accepted,180,,,,,,,3.8,,,,,,,,,Philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harvard '12",No,,,,,,,,,,,,,,,,,,,"Attending :)",Accepted
BeMo,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,Male,,,,,,,,,,,,,,180,,,,,,,3.8,,,,,,,,,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International (no country specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Large public",No,,,,,,,,,,,,,,,,,,,,
carpentrix,,,,,,"the second best legal dickslanging school in the tristate area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,180,,,,,,,3.8,,,,,,,,,"taking names",,,,,,,"kicking ass",,,,,,,,,,,,,,,,,,,,,PA,,,,,,,,,,,,,,,,,,,,,,,,,"watch for changes. only magic will happen here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allegheny College and the Streets",,,,,,,,,,,,,,,,,,,,,
bobbyorr4law,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,Male,,,,,,,,,,,,declined,Accepted,180,,,,,,,3.8,,,,,,,,,"Economics, Classical Studies",,,,,,,,declined,Accepted,,,,,,,,,,,,,"Withdrawn 03/31",Applied,,,,,CA,,,,,,,,,,,,,,,,,,,withdrawn,Waitlisted,,,,,,,,,,,,,,,,declined,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,"Top 5 Liberal Arts",No,,,,,,,,,,,,,,,,,,,attending,Accepted
jyrkchicken,,,,,2012-2013,"Harvard Class of 2016",,,,,,,,,,,,,,,,,,,,,"Hamilton; Withdrawn.",Accepted,,,,,,,,,,,,,,,3.8,Male,,,,,,,,,,,,Attending,Accepted,180,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Withdrawn prior to decision.",Applied,,,,,,,,,,,,,,,,"Withdrawn prior to decision.",Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of Chicago",No,,,,,,,,,,,,,,,,,,,,Rejected
barefootmanner,,,,,2008-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,Male,,,,,,,,,,,,,,180,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTT,,,,,,,,,,,,,,,,,,,,,
"Lady in Red",,,,,,"Michigan 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,Female,,,,,,,,,,,,,,180,,,,,,,3.7,,,,,,,,,"B.S.Ed English Education; B.A. Music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GO BLUE!",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,No,,,,,,,,,,,,,,,,,,,,
dutchstriker,,,,,,"Yale Law School Class of 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dropbox is the best free way to automatically backup your files to the internet: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttlyc,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,Accepted,,,,,,,,,3.8,Female,,,,,,,Accepted,,,,,,Applied,180,,,,,,,,,,,,,,,,"Public Policy",,,,,,,,,Applied,,,,,,,,,,,,,,Applied,,,,,NY,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,Applied,HPY,No,,,,,,,,,,,,,,,,,,,,Applied
jrs12,,,,,2008-2009,"HLS '12",,,,,,,,,,,,,,,,,,,,,,Accepted,"Withdrew. Invited to apply for scholarship.",Accepted,,,"Withdrew. Invited to apply for scholarship.",Accepted,,,,,,,,,3.7,Male,"MA at top university. Several years WE.",,,,,,,,,,,,Accepted,180,,,,,,,3.7,,,,,,,,,English,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial scholarship.",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial scholarship.",Accepted,"Full scholarship guaranteed.",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waitlisted,"Top 10",No,,,,,,,,,,,,,,,,,,,,Rejected
gallifrey,,,,,,"Harvard Class of 2013",,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,Accepted,180,,,,,,,3.7,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waitlisted then rejected"
"bp shinners",,,,,"2006 (and earlier)","Harvard Class of 2009",,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,Applied,,,,,,,,,3.7,Male,,,,,,,Accepted,,,,,Attended,Accepted,180,,,,,,,3.7,,,,,,,,,Biochemistry,,,,,,,,,Accepted,,,,,,,,,,,,,,Accepted,,,,,NY,,,,,,,,,,,,,,,,,,,,Rejected,,,,,http://www.blueprintprep.com/lsatblog,,,,,,,,,,,"Withdrew after the waitlist",Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,"Boston College",No,,,,,,,,,,,,,,,,,,,"And I was so proud of my How to Eat a Reese's 250",Rejected
donmincho,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,180,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
incompetentia,,,,,2011-2012,"Class of '14",,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,3.7,Male,Nontraditional,,,,,,Accepted,,,,,,Rejected,180,,,,,,,3.5,,,,,,,,,"Chemistry, Music",,,,,,,,"$30K - attending",Accepted,,,,,,,,,,,,,,,,,,,OH,,,,,,,,,,,,,,,,,,,,,,,,,fb.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top-40,No,,,,,,,,,,,,,,,,,,,,
D'Angelo,,,,,,"NYU 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,180,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrrhus,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,Male,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvard,No,,,,,,,,,,,,,,,,,,,,
gazellemk,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,Accepted,180,,,,,,,3.6,,,,,,,,,Philosophy,,,,,,,,$$,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrew,Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
humbled2010,"30-20-10 with in state possibility",Accepted,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10 a year",Accepted,,,,,3.6,Male,"Misconduct report filed against me for immaturity during the class of 2013 admissions cycle",,,,,,,,,,,,,180,,,,,,,3.6,,,,,,Rejected,,,"Medieval and Early Modern Studies",,,,,,,,,Rejected,,,,Rejected,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,Rejected,,,,Rejected,,,,,,,,,,,,,,,"Rolled Over ED",Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,,,,,,,Michigan,No,,Rejected,,,,,36,Accepted,,,,,,,,Applied,,,,
cynthiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,Female,,,,,,,,,,,,,,180,,,,,,,3.6,,,,,,,,,"Political Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
